"rank","name"
"81.3","American University"
"89.7","Auburn University"
"76.7","Baylor University"
"85.3","SUNY at Binghamton"
"32.7","Boston College"
"53.8","Boston University"
"31.7","Brandeis University"
"78.5","Brigham Young University-Provo"
"15","Brown University"
"6.2","California Institute of Technology"
"22.5","Carnegie Mellon University"
"39.8","Case Western Reserve University"
"85.7","Clark University"
"63.8","Clemson University"
"32.3","College of William and Mary"
"78.3","Colorado School of Mines"
"6.2","Columbia University"
"14.5","Cornell University"
"10.5","Dartmouth College"
"92.7","Drexel University"
"8.7","Duke University"
"18.7","Emory University"
"102","Florida State University"
"59.2","Fordham University"
"52.2","George Washington University"
"22","Georgetown University"
"35.3","Georgia Institute of Technology"
"1.3","Harvard University"
"109.2","Howard University"
"104.8","Illinois Institute of Technology"
"73.7","Indiana University-Bloomington"
"92.3","Iowa State University"
"13.5","Johns Hopkins University"
"36.2","Lehigh University"
"79.2","Marquette University"
"5.7","Massachusetts Institute of Technology"
"75.7","Miami University-Oxford"
"72.7","Michigan State University"
"32.8","New York University"
"94.8","North Carolina State University at Raleigh"
"75.3","Northeastern University"
"12.3","Northwestern University"
"54.8","Ohio State University-Main Campus"
"45.2","Pennsylvania State University-Main Campus"
"55.5","Pepperdine University"
"1.3","Princeton University"
"62.8","Purdue University-Main Campus"
"43.2","Rensselaer Polytechnic Institute"
"17.2","Rice University"
"65","Rutgers University-New Brunswick"
"63.2","Southern Methodist University"
"87.8","St. Louis University"
"4.5","Stanford University"
"83","Stevens Institute of Technology"
"96.7","Stony Brook University"
"82.5","SUNY College of Environmental Science and Forestry"
"56.7","Syracuse University"
"62.8","Texas A  and  M University-Central Texas"
"101.5","Texas Christian University"
"28.2","Tufts University"
"50.7","Tulane University"
"85","University of Alabama"
"109.5","University of Arizona"
"21","University of California-Berkeley"
"40.7","University of California-Davis"
"44.8","University of California-Irvine"
"24.5","University of California-Los Angeles"
"36.5","University of California-San Diego"
"42","University of California-Santa Barbara"
"79.8","University of California-Santa Cruz"
"97.3","University of California-Riverside"
"7.3","University of Chicago"
"83.2","University of Colorado Boulder"
"63.3","University of Connecticut"
"72.5","University of Delaware"
"86.2","University of Denver"
"50.8","University of Florida"
"58.8","University of Georgia"
"41.7","University of Illinois at Urbana-Champaign"
"69.5","University of Iowa"
"96","University of Kansas"
"55.5","University of Maryland-College Park"
"98","University of Massachusetts-Amherst"
"47.5","University of Miami"
"27.2","University of Michigan-Ann Arbor"
"65.7","University of Minnesota-Twin Cities"
"95","University of Missouri"
"97","University of Nebraska Lincoln"
"105.5","University of New Hampshire"
"29.2","University of North Carolina at Chapel Hill"
"18.8","University of Notre Dame"
"5.3","University of Pennsylvania"
"59.5","University of Pittsburgh"
"34.8","University of Rochester"
"100.2","University of San Diego"
"24.8","University of Southern California"
"46.7","University of Texas at Austin"
"86","University of Tulsa"
"88.5","University of Vermont"
"23.8","University of Virginia"
"43.3","University of Washington"
"40","University of Wisconsin-Madison"
"17.5","Vanderbilt University"
"70.3","Virginia Tech"
"26.5","Wake Forest University"
"12.8","Washington University in St. Louis"
"64.8","Worcester Polytechnic Institute"
"3","Yale University"
"49.3","Yeshiva University"
